时间;类型;描述
 2021-05-25 14:08:38 ;内存;安全内存0X34E2650 -- 0X34E2670，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2670，虚链数据0X      0  <---> 0X34E25A8
 2021-05-25 14:08:38 ;内存;安全内存0X34E2670 -- 0X34E2690，用户可用内存  24 字节，实链两端0X34E2650 <---> 0X34E2690，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:38 ;内存;安全内存0X34E2690 -- 0X34E26B0，用户可用内存  24 字节，实链两端0X34E2670 <---> 0X34E26B0，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:38 ;内存;安全内存0X34E26B0 -- 0X34E2850，用户可用内存 408 字节，实链两端0X34E2690 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:38 ;内存;空指针
 2021-05-25 14:08:38 ;任务;模拟进风口程序WindTask插入规则之后，函数返回错误代码为0，此时安全数据区总大小为：524B，剩余可供分配的有效空间为：484B，共有10种内存块可供分配,分别是:
 2021-05-25 14:08:38 ;任务;1 :标签大小为8的内存块剩余0块；
 2021-05-25 14:08:38 ;任务;2 :标签大小为12的内存块剩余0块；
 2021-05-25 14:08:38 ;任务;3 :标签大小为16的内存块剩余1块；
 2021-05-25 14:08:38 ;任务;4 :标签大小为20的内存块剩余3块；
 2021-05-25 14:08:38 ;任务;5 :标签大小为40的内存块剩余0块；
 2021-05-25 14:08:38 ;任务;6 :标签大小为80的内存块剩余0块；
 2021-05-25 14:08:38 ;任务;7 :标签大小为160的内存块剩余0块；
 2021-05-25 14:08:38 ;任务;8 :标签大小为320的内存块剩余0块；
 2021-05-25 14:08:38 ;任务;9 :标签大小为640的内存块剩余1块；
 2021-05-25 14:08:38 ;任务;10 :标签大小为640的内存块剩余0块；
 2021-05-25 14:08:40 ;规则;计算规则表达式
 2021-05-25 14:08:40 ;规则; safe_rate[0]  safe_rates[1] <= 
 2021-05-25 14:08:40 ;规则;计算规则表达式
 2021-05-25 14:08:40 ;规则; safe_rate[0]  safe_rates[3] <= 
 2021-05-25 14:08:40 ;规则;计算规则表达式
 2021-05-25 14:08:40 ;规则; safe_rate[0]  safe_rates[2] >= 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2450 -- 0X34E2460，用户可用内存   8 字节，实链两端0X      0 <---> 0X34E2460，虚链数据0X34E2630  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2460 -- 0X34E2470，用户可用内存   8 字节，实链两端0X34E2450 <---> 0X34E2470，虚链数据0X34E2630  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X34E2650  <---> 0X34E2450
 2021-05-25 14:08:42 ;内存;安全内存0X34E2480 -- 0X34E2494，用户可用内存  12 字节，实链两端0X34E2470 <---> 0X34E2494，虚链数据0X34E2650  <---> 0X34E2460
 2021-05-25 14:08:42 ;内存;安全内存0X34E2494 -- 0X34E24A8，用户可用内存  12 字节，实链两端0X34E2480 <---> 0X34E24A8，虚链数据0X34E2670  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E24A8 -- 0X34E24BC，用户可用内存  12 字节，实链两端0X34E2494 <---> 0X34E24BC，虚链数据0X34E2670  <---> 0X34E2480
 2021-05-25 14:08:42 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E2690  <---> 0X34E2494
 2021-05-25 14:08:42 ;内存;安全内存0X34E24D4 -- 0X34E24EC，用户可用内存  16 字节，实链两端0X34E24BC <---> 0X34E24EC，虚链数据0X34E2690  <---> 0X34E24A8
 2021-05-25 14:08:42 ;内存;安全内存0X34E24EC -- 0X34E2504，用户可用内存  16 字节，实链两端0X34E24D4 <---> 0X34E2504，虚链数据0X      0  <---> 0X34E24D4
 2021-05-25 14:08:42 ;内存;安全内存0X34E2504 -- 0X34E2520，用户可用内存  20 字节，实链两端0X34E24EC <---> 0X34E2520，虚链数据0X34E2520  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2520 -- 0X34E253C，用户可用内存  20 字节，实链两端0X34E2504 <---> 0X34E253C，虚链数据0X34E253C  <---> 0X34E2504
 2021-05-25 14:08:42 ;内存;安全内存0X34E253C -- 0X34E2558，用户可用内存  20 字节，实链两端0X34E2520 <---> 0X34E2558，虚链数据0X      0  <---> 0X34E2520
 2021-05-25 14:08:42 ;内存;安全内存0X34E2558 -- 0X34E25A8，用户可用内存  72 字节，实链两端0X34E253C <---> 0X34E25A8，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;安全内存0X34E25A8 -- 0X34E25EC，用户可用内存  60 字节，实链两端0X34E2558 <---> 0X34E25EC，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;安全内存0X34E25EC -- 0X34E2630，用户可用内存  60 字节，实链两端0X34E25A8 <---> 0X34E2630，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2650，用户可用内存  24 字节，实链两端0X34E25EC <---> 0X34E2650，虚链数据0X      0  <---> 0X34E25A8
 2021-05-25 14:08:42 ;内存;安全内存0X34E2650 -- 0X34E2670，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2670，虚链数据0X      0  <---> 0X34E25A8
 2021-05-25 14:08:42 ;内存;安全内存0X34E2670 -- 0X34E2690，用户可用内存  24 字节，实链两端0X34E2650 <---> 0X34E2690，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:42 ;内存;安全内存0X34E2690 -- 0X34E26B0，用户可用内存  24 字节，实链两端0X34E2670 <---> 0X34E26B0，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:42 ;内存;安全内存0X34E26B0 -- 0X34E2850，用户可用内存 408 字节，实链两端0X34E2690 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;空指针
 2021-05-25 14:08:42 ;任务;模拟加热程序FireTask准备结束之前，函数返回错误代码为224，此时安全数据区总大小为：524B，剩余可供分配的有效空间为：484B，共有10种内存块可供分配,分别是:
 2021-05-25 14:08:42 ;任务;1 :标签大小为8的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;2 :标签大小为12的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;3 :标签大小为16的内存块剩余1块；
 2021-05-25 14:08:42 ;任务;4 :标签大小为20的内存块剩余3块；
 2021-05-25 14:08:42 ;任务;5 :标签大小为40的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;6 :标签大小为80的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;7 :标签大小为160的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;8 :标签大小为320的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;9 :标签大小为640的内存块剩余1块；
 2021-05-25 14:08:42 ;任务;10 :标签大小为640的内存块剩余0块；
 2021-05-25 14:08:42 ;变量;请注意优先级为 7 的任务中声明的安全变量 safe_rate 没有相应的删除操作，任务结束自动删除。
 2021-05-25 14:08:42 ;规则;删除规则表达式,先解析出该规则约束的安全变量地址
 2021-05-25 14:08:42 ;规则;0X34E25A8 0X34E2558 
 2021-05-25 14:08:42 ;规则;为安全变量safe_rate解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X34E2650  <---> 0X34E2450
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;规则;为安全变量safe_rates解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2480 -- 0X34E2494，用户可用内存  12 字节，实链两端0X34E2470 <---> 0X34E2494，虚链数据0X34E2650  <---> 0X34E2460
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2480 -- 0X34E2494，用户可用内存  12 字节，实链两端0X34E2470 <---> 0X34E2494，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;规则;回收规则空间
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2650 -- 0X34E2670，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2670，虚链数据0X      0  <---> 0X34E25A8
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2650 -- 0X34E2670，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2670，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;规则;删除规则表达式,先解析出该规则约束的安全变量地址
 2021-05-25 14:08:42 ;规则;0X34E25A8 0X34E2558 
 2021-05-25 14:08:42 ;规则;为安全变量safe_rate解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2450 -- 0X34E2460，用户可用内存   8 字节，实链两端0X      0 <---> 0X34E2460，虚链数据0X34E2630  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2450 -- 0X34E2460，用户可用内存   8 字节，实链两端0X      0 <---> 0X34E2460，虚链数据0X34E2470  <---> 0X      0
 2021-05-25 14:08:42 ;规则;为安全变量safe_rates解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2460 -- 0X34E2470，用户可用内存   8 字节，实链两端0X34E2450 <---> 0X34E2470，虚链数据0X34E2630  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2450 -- 0X34E2460，用户可用内存   8 字节，实链两端0X      0 <---> 0X34E2460，虚链数据0X34E2470  <---> 0X      0
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X      0  <---> 0X34E2450
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2460 -- 0X34E2470，用户可用内存   8 字节，实链两端0X34E2450 <---> 0X34E2470，虚链数据0X34E2450  <---> 0X      0
 2021-05-25 14:08:42 ;规则;回收规则空间
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2650，用户可用内存  24 字节，实链两端0X34E25EC <---> 0X34E2650，虚链数据0X      0  <---> 0X34E25A8
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2650 -- 0X34E2670，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2670，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2670，用户可用内存  56 字节，实链两端0X34E25EC <---> 0X34E2670，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E25A8 -- 0X34E25EC，用户可用内存  60 字节，实链两端0X34E2558 <---> 0X34E25EC，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E25A8 -- 0X34E25EC，用户可用内存  60 字节，实链两端0X34E2558 <---> 0X34E25EC，虚链数据0X      0  <---> 0X34E2630
 2021-05-25 14:08:42 ;内存;安全内存0X34E2450 -- 0X34E2460，用户可用内存   8 字节，实链两端0X      0 <---> 0X34E2460，虚链数据0X34E2470  <---> 0X34E2460
 2021-05-25 14:08:42 ;内存;安全内存0X34E2460 -- 0X34E2470，用户可用内存   8 字节，实链两端0X34E2450 <---> 0X34E2470，虚链数据0X34E2450  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X      0  <---> 0X34E2450
 2021-05-25 14:08:42 ;内存;安全内存0X34E2480 -- 0X34E2494，用户可用内存  12 字节，实链两端0X34E2470 <---> 0X34E2494，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2494 -- 0X34E24A8，用户可用内存  12 字节，实链两端0X34E2480 <---> 0X34E24A8，虚链数据0X34E2670  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E24A8 -- 0X34E24BC，用户可用内存  12 字节，实链两端0X34E2494 <---> 0X34E24BC，虚链数据0X34E2670  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E2690  <---> 0X34E2494
 2021-05-25 14:08:42 ;内存;安全内存0X34E24D4 -- 0X34E24EC，用户可用内存  16 字节，实链两端0X34E24BC <---> 0X34E24EC，虚链数据0X34E2690  <---> 0X34E24A8
 2021-05-25 14:08:42 ;内存;安全内存0X34E24EC -- 0X34E2504，用户可用内存  16 字节，实链两端0X34E24D4 <---> 0X34E2504，虚链数据0X      0  <---> 0X34E24D4
 2021-05-25 14:08:42 ;内存;安全内存0X34E2504 -- 0X34E2520，用户可用内存  20 字节，实链两端0X34E24EC <---> 0X34E2520，虚链数据0X34E2520  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2520 -- 0X34E253C，用户可用内存  20 字节，实链两端0X34E2504 <---> 0X34E253C，虚链数据0X34E253C  <---> 0X34E2504
 2021-05-25 14:08:42 ;内存;安全内存0X34E253C -- 0X34E2558，用户可用内存  20 字节，实链两端0X34E2520 <---> 0X34E2558，虚链数据0X      0  <---> 0X34E2520
 2021-05-25 14:08:42 ;内存;安全内存0X34E2558 -- 0X34E25A8，用户可用内存  72 字节，实链两端0X34E253C <---> 0X34E25A8，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;安全内存0X34E25A8 -- 0X34E25EC，用户可用内存  60 字节，实链两端0X34E2558 <---> 0X34E25EC，虚链数据0X      0  <---> 0X34E2630
 2021-05-25 14:08:42 ;内存;安全内存0X34E25EC -- 0X34E2630，用户可用内存  60 字节，实链两端0X34E25A8 <---> 0X34E2630，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2670，用户可用内存  56 字节，实链两端0X34E25EC <---> 0X34E2670，虚链数据0X34E25A8  <---> 0X      0
 2021-05-25 14:08:42 ;内存;安全内存0X34E2670 -- 0X34E2690，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2690，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:42 ;内存;安全内存0X34E2690 -- 0X34E26B0，用户可用内存  24 字节，实链两端0X34E2670 <---> 0X34E26B0，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:42 ;内存;安全内存0X34E26B0 -- 0X34E2850，用户可用内存 408 字节，实链两端0X34E2690 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;空指针
 2021-05-25 14:08:42 ;任务;模拟进风口程序WindTask准备结束之前，函数返回错误代码为0，此时安全数据区总大小为：724B，剩余可供分配的有效空间为：636B，共有10种内存块可供分配,分别是:
 2021-05-25 14:08:42 ;任务;1 :标签大小为8的内存块剩余3块；
 2021-05-25 14:08:42 ;任务;2 :标签大小为12的内存块剩余1块；
 2021-05-25 14:08:42 ;任务;3 :标签大小为16的内存块剩余1块；
 2021-05-25 14:08:42 ;任务;4 :标签大小为20的内存块剩余3块；
 2021-05-25 14:08:42 ;任务;5 :标签大小为40的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;6 :标签大小为80的内存块剩余2块；
 2021-05-25 14:08:42 ;任务;7 :标签大小为160的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;8 :标签大小为320的内存块剩余0块；
 2021-05-25 14:08:42 ;任务;9 :标签大小为640的内存块剩余1块；
 2021-05-25 14:08:42 ;任务;10 :标签大小为640的内存块剩余0块；
 2021-05-25 14:08:42 ;变量;请注意优先级为 9 的任务中声明的安全变量 safe_rate 没有相应的删除操作，任务结束自动删除。
 2021-05-25 14:08:42 ;规则;删除规则表达式,先解析出该规则约束的安全变量地址
 2021-05-25 14:08:42 ;规则;0X34E25EC 0X34E2558 
 2021-05-25 14:08:42 ;规则;为安全变量safe_rate解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E2690  <---> 0X34E2494
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E24EC  <---> 0X      0
 2021-05-25 14:08:42 ;规则;为安全变量safe_rates解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E24D4 -- 0X34E24EC，用户可用内存  16 字节，实链两端0X34E24BC <---> 0X34E24EC，虚链数据0X34E2690  <---> 0X34E24A8
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E24EC  <---> 0X      0
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E24EC -- 0X34E2504，用户可用内存  16 字节，实链两端0X34E24D4 <---> 0X34E2504，虚链数据0X      0  <---> 0X34E24BC
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E24D4 -- 0X34E24EC，用户可用内存  16 字节，实链两端0X34E24BC <---> 0X34E24EC，虚链数据0X34E24BC  <---> 0X      0
 2021-05-25 14:08:42 ;规则;回收规则空间
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2690 -- 0X34E26B0，用户可用内存  24 字节，实链两端0X34E2670 <---> 0X34E26B0，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E26B0 -- 0X34E2850，用户可用内存 408 字节，实链两端0X34E2690 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2690 -- 0X34E2850，用户可用内存 440 字节，实链两端0X34E2670 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;规则;删除规则表达式,先解析出该规则约束的安全变量地址
 2021-05-25 14:08:42 ;规则;0X34E25EC 0X34E2558 
 2021-05-25 14:08:42 ;规则;为安全变量safe_rate解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2494 -- 0X34E24A8，用户可用内存  12 字节，实链两端0X34E2480 <---> 0X34E24A8，虚链数据0X34E2670  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2480 -- 0X34E2494，用户可用内存  12 字节，实链两端0X34E2470 <---> 0X34E2494，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2494 -- 0X34E24A8，用户可用内存  12 字节，实链两端0X34E2480 <---> 0X34E24A8，虚链数据0X34E2480  <---> 0X      0
 2021-05-25 14:08:42 ;规则;为安全变量safe_rates解除规则引用
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E24A8 -- 0X34E24BC，用户可用内存  12 字节，实链两端0X34E2494 <---> 0X34E24BC，虚链数据0X34E2670  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2494 -- 0X34E24A8，用户可用内存  12 字节，实链两端0X34E2480 <---> 0X34E24A8，虚链数据0X34E2480  <---> 0X      0
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E24EC  <---> 0X34E24D4
 2021-05-25 14:08:42 ;内存;现有的该大小的内存块不多（小于等于设定值），取消合并
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E24A8 -- 0X34E24BC，用户可用内存  12 字节，实链两端0X34E2494 <---> 0X34E24BC，虚链数据0X34E2494  <---> 0X      0
 2021-05-25 14:08:42 ;规则;回收规则空间
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2670 -- 0X34E2690，用户可用内存  24 字节，实链两端0X34E2630 <---> 0X34E2690，虚链数据0X      0  <---> 0X34E25EC
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2670，用户可用内存  56 字节，实链两端0X34E25EC <---> 0X34E2670，虚链数据0X34E25A8  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2690 -- 0X34E2850，用户可用内存 440 字节，实链两端0X34E2670 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2850，用户可用内存 536 字节，实链两端0X34E25EC <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E25EC -- 0X34E2630，用户可用内存  60 字节，实链两端0X34E25A8 <---> 0X34E2630，虚链数据0X65666173  <---> 0X7461725F
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并左边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E25A8 -- 0X34E25EC，用户可用内存  60 字节，实链两端0X34E2558 <---> 0X34E25EC，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中准备合并右边的内存块：
 2021-05-25 14:08:42 ;内存;安全内存0X34E2630 -- 0X34E2850，用户可用内存 536 字节，实链两端0X34E25EC <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:42 ;内存;OSSafeVarMemPut中最终插入的内存块的信息为： 
 2021-05-25 14:08:42 ;内存;安全内存0X34E25A8 -- 0X34E2850，用户可用内存 672 字节，实链两端0X34E2558 <---> 0X      0，虚链数据0X      0  <---> 0X      0
 2021-05-25 14:08:43 ;内存;安全内存0X34E2450 -- 0X34E2460，用户可用内存   8 字节，实链两端0X      0 <---> 0X34E2460，虚链数据0X34E2470  <---> 0X34E2460
 2021-05-25 14:08:43 ;内存;安全内存0X34E2460 -- 0X34E2470，用户可用内存   8 字节，实链两端0X34E2450 <---> 0X34E2470，虚链数据0X34E2450  <---> 0X      0
 2021-05-25 14:08:43 ;内存;安全内存0X34E2470 -- 0X34E2480，用户可用内存   8 字节，实链两端0X34E2460 <---> 0X34E2480，虚链数据0X      0  <---> 0X34E2450
 2021-05-25 14:08:43 ;内存;安全内存0X34E2480 -- 0X34E2494，用户可用内存  12 字节，实链两端0X34E2470 <---> 0X34E2494，虚链数据0X      0  <---> 0X34E2494
 2021-05-25 14:08:43 ;内存;安全内存0X34E2494 -- 0X34E24A8，用户可用内存  12 字节，实链两端0X34E2480 <---> 0X34E24A8，虚链数据0X34E2480  <---> 0X34E24A8
 2021-05-25 14:08:43 ;内存;安全内存0X34E24A8 -- 0X34E24BC，用户可用内存  12 字节，实链两端0X34E2494 <---> 0X34E24BC，虚链数据0X34E2494  <---> 0X      0
 2021-05-25 14:08:43 ;内存;安全内存0X34E24BC -- 0X34E24D4，用户可用内存  16 字节，实链两端0X34E24A8 <---> 0X34E24D4，虚链数据0X34E24EC  <---> 0X34E24D4
 2021-05-25 14:08:43 ;内存;安全内存0X34E24D4 -- 0X34E24EC，用户可用内存  16 字节，实链两端0X34E24BC <---> 0X34E24EC，虚链数据0X34E24BC  <---> 0X      0
 2021-05-25 14:08:43 ;内存;安全内存0X34E24EC -- 0X34E2504，用户可用内存  16 字节，实链两端0X34E24D4 <---> 0X34E2504，虚链数据0X      0  <---> 0X34E24BC
 2021-05-25 14:08:43 ;内存;安全内存0X34E2504 -- 0X34E2520，用户可用内存  20 字节，实链两端0X34E24EC <---> 0X34E2520，虚链数据0X34E2520  <---> 0X      0
